,_id,linea,mezzo,percorso,nome,lung_km,num_ferm,LONG_X_4326_CENTROID,LAT_Y_4326_CENTROID,Location
count,43.0,43.0,43,43.0,43,43.0,43.0,43.0,43.0,43
unique,,,1,,43,,,,,38
top,,,METRO,,BISCEGLIE - SESTO 1 MAGGIO FS,,,,,"(45.4834919858101, 9.18753014371281)"
freq,,,43,,1,,,,,2
mean,22.0,2.046511627906977,,100073.44186046511,,15.892325581395346,19.488372093023255,9.223336592015665,45.48583512737399,
std,12.556538801224908,0.9500247709074554,,44.26075458525596,,8.511406586572459,9.30276992294245,0.062340487762981296,0.024315304746844683,
min,1.0,1.0,,100002.0,,0.78,2.0,9.15771730620247,45.4190964371088,
25%,11.5,2.0,,100045.5,,11.68,13.0,9.17811220445676,45.4726428148229,
50%,22.0,2.0,,100064.0,,15.63,21.0,9.20242015588286,45.4846602833999,
75%,32.5,2.0,,100083.0,,19.18,27.5,9.257223639043946,45.49460827889385,
max,43.0,5.0,,100164.0,,33.25,31.0,9.43006868521809,45.5436745031413,
